編號,"元神
編號",擁有,名稱（1024更新）,屬1,屬2,CP,HP,IV,升級星魄,升級元丹,Level,技1,技屬性1,Att1,"小招
集氣
次數",技2,技屬性2,Att2,STAB1,STAB2,CP1,同頂級CP,"HP/
SQRT(LV)",平均Att,45.5 ,,,,
1,1,v,木靈,木,毒,740,70,82,4000,3,25,疾風閃,木,11,,疾風快斬,木,50,1.25,1.25,14.79496971,1117 ,14,,,,,,
2,1,,木靈,木,毒,292,41,77,1000,1,10,疾風閃,木,11,,猛毒,毒,42,1.25,1.25,14.41263574,1088 ,12.96533841,,,,,,
3,2,v,木宿,木,毒,227,39,84,600,1,5,疾風閃,木,11,,猛毒,毒,42,1.25,1.25,24.01608125,1814 ,17.44133022,,,,,,
4,3,v,木神句芒,木,毒,438,57,88,600,1,6,飛天斬,木,10,10,迎風拂柳,木,41,1.25,1.25,37.87289235,2860 ,23.27015256,16.02272727,,,,,
5,4,v,火靈,火,,377,48,88,1600,2,13.5,火襲,火,10,,衝擊烈焰,火,38,1.25,1.25,13.954177,1054 ,13.06394529,,,,,,
7,5,,火宿,火,,536,61,88,1300,2,11.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,23.04385211,1740 ,17.98791865,,,,,,
8,5,,火宿,火,,944,82,82,2500,2,20.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,22.87930199,1728 ,18.11077028,,,,,,
6,5,v,火宿,火,,567,62,80,1300,2,12.5,掃擊,無,12,,強襲烈火,火,29,1,1.25,22.66458808,1712 ,17.53624817,,,,,,
9,6,v,火神祝融,火,空,1565,106,82,2500,2,20.5,火襲,火,10,8,衝擊烈焰,火,38,1.25,1.25,38.15491138,2881 ,23.41148353,16.38888889,,,,,
10,6,,火神祝融,火,空,886,79,88,1300,2,11.5,火襲,火,10,8,龍擊,龍,47,1.25,1,38.09114359,2877 ,23.29582907,16.33333333,,,,,
11,6,,火神祝融,火,空,280,44,84,400,1,4,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,37.73584906,2850 ,22,,,,,,
13,7,,水靈,水,,264,42,82,1000,1,9.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,13.75716519,1039 ,13.62659937,,,,,,
12,7,v,水靈,水,,302,43,82,1300,2,11,凝水毫針,水,11,,水爆,水,22,1.25,1.25,13.71667348,1036 ,12.96498782,,,,,,
14,8,v,水宿,水,,23,12,86,200,1,1,噬命擊,魔,13,,冰雪蓮華,冰,36,1,1,23,1737 ,12,,,,,,
15,9,v,水神共工,水,,2349,132,91,6000,4,32.5,靛水訣,水,12,8,滔天破浪,水,47,1.25,1.25,37.57377993,2837 ,23.15433171,19.86111111,,,,,
16,9,,水神共工,水,,2312,131,91,6000,4,31.5,靛水訣,水,12,,滔天破浪,水,47,1.25,1.25,37.43523316,2827 ,23.34081513,,,,,,
17,10,v,青蛟,鬥,,66,28,91,400,1,4.5,屠滅擊,鬥,11,,無影連環,無,18,1.25,1,7.861354297,594 ,13.19932658,,,,,,
18,10,,青蛟,鬥,,275,53,80,2200,2,17.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,7.799205899,589 ,12.66942326,,,,,,
19,11,v,苔青蛟,鬥,,142,39,93,800,1,7,屠滅擊,鬥,11,,無影連環,無,18,1.25,1,10.38163474,784 ,14.74061445,,,,,,
21,12,v,東靈青龍,鬥,空,295,49,93,600,1,6,屠滅擊,鬥,11,4,鬥破蒼穹,鬥,35,1.25,1.25,25.50799827,1926 ,20.00416623,19.75,,,,,
20,12,v,東靈青龍,鬥,空,967,88,91,2500,2,19,屠滅擊,鬥,11,3,格鬥奧義,鬥,29,1.25,1.25,25.43598916,1921 ,20.18858458,19.375,,,,,
23,13,v,龜靈,鬥,毒,140,36,93,800,1,8.5,無影神針,毒,11,,無影連環,無,18,1.25,1,8.309838255,628 ,12.34789813,,,,,,
22,13,,龜靈,鬥,毒,219,45,84,1600,2,13.5,屠滅擊,鬥,11,,無影連環,無,18,1.25,1,8.106007329,612 ,12.24744871,,,,,,
